Title,glide gscore,RMSD
decoy,-6.763,9.312
decoy,-7.463,7.888
decoy,-6.759,10.758
decoy,-6.758,8.457
decoy,-6.757,10.014
decoy,-6.756,10.654
decoy,-6.756,9.345
decoy,-6.756,7.445
decoy,-6.755,9.825
decoy,-6.754,7.435
decoy,-6.76,9.212
decoy,-6.753,11.103
decoy,-6.758,8.288
decoy,-6.753,7.815
decoy,-6.752,9.893
decoy,-6.749,9.696
decoy,-6.747,5.698
decoy,-6.748,8.394
decoy,-6.745,9.091
decoy,-6.8,8.573
decoy,-6.744,9.562
decoy,-7.175,6.848
decoy,-6.743,6.704
decoy,-6.742,8.431
decoy,-6.746,8.246
decoy,-6.74,10.233
decoy,-6.74,8.422
decoy,-6.74,7.143
decoy,-6.74,8.315
decoy,-6.738,8.149
decoy,-6.839,7.073
decoy,-6.735,6.786
decoy,-6.734,9.475
decoy,-6.734,7.604
decoy,-6.745,8.809
decoy,-6.733,7.055
decoy,-6.731,6.364
decoy,-6.731,7.19
decoy,-6.729,8.509
CHEMBL392589,-6.73,6.254
decoy,-6.73,6.338
decoy,-6.728,6.385
decoy,-6.727,8.967
decoy,-6.726,7.101
decoy,-6.724,7.778
decoy,-6.724,9.167
CHEMBL4528570,-6.723,10.435
decoy,-6.723,10.454
decoy,-6.773,7.872
decoy,-6.721,9.458
decoy,-6.721,8.397
decoy,-6.722,7.046
decoy,-6.715,7.352
decoy,-6.711,6.229
decoy,-6.709,7.562
decoy,-6.821,7.379
decoy,-6.704,9.2
CHEMBL4739934,-6.704,7.988
decoy,-6.702,8.001
decoy,-6.701,8.587
decoy,-6.7,10.032
decoy,-6.7,8.083
decoy,-6.698,7.907
decoy,-6.698,6.742
decoy,-6.968,7.89
decoy,-6.696,8.704
decoy,-6.696,7.542
decoy,-6.696,8.307
decoy,-6.692,7.579
decoy,-6.696,7.54
decoy,-6.693,7.484
decoy,-6.69,9.917
decoy,-8.542,8.104
decoy,-6.905,8.97
decoy,-6.687,8.808
decoy,-6.81,7.978
decoy,-6.695,6.524
decoy,-7.121,8.344
decoy,-6.683,7.74
decoy,-6.683,9.174
decoy,-6.788,6.495
decoy,-6.681,8.982
decoy,-7.251,6.546
decoy,-6.678,6.547
decoy,-6.678,7.422
decoy,-6.745,6.356
decoy,-6.675,9.105
decoy,-6.672,8.103
decoy,-6.668,9.599
decoy,-6.667,8.52
decoy,-7.35,6.551
decoy,-6.689,6.657
decoy,-6.666,7.342
decoy,-6.665,9.103
decoy,-6.662,8.428
decoy,-7.072,7.841
decoy,-6.662,6.891
decoy,-6.762,8.963
decoy,-6.66,5.68
