Title,glide gscore,RMSD
decoy,-9.159,8.719
decoy,-9.184,6.735
decoy,-9.157,8.039
decoy,-10.188,8.989
decoy,-9.17,6.605
decoy,-9.309,6.764
decoy,-9.152,6.847
decoy,-9.152,7.477
decoy,-9.151,9.354
decoy,-10.401,9.313
decoy,-9.15,6.7
decoy,-9.147,8.103
decoy,-9.147,8.118
decoy,-9.147,8.617
decoy,-9.146,7.069
decoy,-9.145,6.818
decoy,-9.143,8.058
decoy,-9.143,6.725
decoy,-9.143,6.808
decoy,-9.141,8.171
decoy,-9.139,7.715
decoy,-9.136,7.743
decoy,-9.158,9.352
decoy,-9.723,6.951
decoy,-9.132,6.902
decoy,-9.132,5.826
decoy,-9.401,9.175
decoy,-9.126,7.593
decoy,-9.123,6.962
decoy,-9.123,8.111
decoy,-11.693,8.138
decoy,-9.118,8.933
decoy,-9.12,8.302
decoy,-9.115,7.757
decoy,-9.127,6.627
decoy,-11.741,7.951
decoy,-9.112,6.468
decoy,-9.111,6.412
decoy,-9.11,8.735
decoy,-9.109,7.52
decoy,-9.573,7.551
decoy,-9.104,8.636
decoy,-9.402,7.292
decoy,-9.103,9.228
decoy,-9.101,8.2
decoy,-9.101,6.019
decoy,-9.101,8.727
decoy,-9.199,6.942
decoy,-9.096,5.168
decoy,-9.162,7.746
decoy,-9.095,8.254
decoy,-9.092,8.805
decoy,-9.364,8.891
decoy,-9.147,7.946
decoy,-9.086,6.173
decoy,-9.085,7.889
decoy,-9.116,7.427
decoy,-9.08,7.983
decoy,-11.103,6.759
decoy,-9.628,7.261
decoy,-9.076,7.818
decoy,-9.075,7.702
decoy,-9.072,6.107
decoy,-9.086,7.729
decoy,-9.071,6.087
decoy,-9.07,7.202
decoy,-9.067,6.964
decoy,-9.188,5.268
decoy,-9.063,6.454
decoy,-9.06,6.322
decoy,-9.06,6.53
CHEMBL4448763,-9.055,8.204
decoy,-9.055,8.47
decoy,-9.116,6.27
decoy,-9.054,8.429
decoy,-9.051,7.629
decoy,-9.058,6.974
decoy,-9.047,7.425
decoy,-9.046,7.269
decoy,-9.044,6.26
decoy,-9.042,5.929
CHEMBL4516452,-9.04,6.654
CHEMBL4516452,-9.04,6.654
decoy,-9.04,7.161
decoy,-9.04,7.161
decoy,-9.204,6.166
decoy,-9.033,7.656
decoy,-9.032,6.817
decoy,-9.03,7.484
decoy,-9.028,7.283
decoy,-9.027,6.569
decoy,-9.034,6.761
decoy,-9.034,7.772
decoy,-9.025,8.168
decoy,-9.024,7.836
decoy,-9.056,8.527
decoy,-10.073,7.549
decoy,-9.428,7.363
decoy,-9.017,6.339
decoy,-9.119,5.658
decoy,-9.016,6.244
decoy,-9.04,7.611
decoy,-9.014,7.539
decoy,-9.01,6.183
decoy,-9.008,8.296
decoy,-9.021,8.012
decoy,-9.344,6.939
decoy,-9.004,8.016
decoy,-9.703,6.835
decoy,-9.001,6.955
decoy,-8.999,5.869
decoy,-10.087,7.283
decoy,-8.994,6.251
decoy,-9.001,6.144
decoy,-9.275,6.261
decoy,-8.991,7.877
decoy,-8.986,8.482
decoy,-8.984,6.214
decoy,-8.982,7.709
decoy,-10.782,8.323
decoy,-8.98,4.75
decoy,-8.978,5.745
decoy,-8.978,7.297
decoy,-8.975,6.108
decoy,-8.974,8.549
decoy,-9.524,9.151
CHEMBL4582016,-8.973,6.926
CHEMBL4476569,-8.973,6.926
CHEMBL4476569,-8.973,6.926
decoy,-8.973,6.751
decoy,-8.973,6.751
decoy,-8.988,7.698
decoy,-11,7.088
decoy,-8.975,7.145
decoy,-8.967,7.29
decoy,-8.966,7.986
decoy,-8.966,7.879
decoy,-8.99,6.9
decoy,-9.922,8.815
decoy,-8.964,9.86
decoy,-9.01,7.164
decoy,-8.958,7.719
decoy,-8.957,6.68
decoy,-8.953,7.438
decoy,-8.953,7.852
decoy,-8.947,7.427
decoy,-8.945,7.123
decoy,-8.944,7.351
decoy,-8.944,9.288
decoy,-9.008,5.906
decoy,-8.942,8.93
decoy,-8.941,8.413
decoy,-8.941,7.878
decoy,-8.951,6.954
decoy,-8.935,6.528
decoy,-8.933,7.562
CHEMBL4741889,-8.932,9.152
decoy,-8.931,5.617
decoy,-8.931,6.602
decoy,-8.93,5.939
decoy,-8.93,8.275
decoy,-8.929,6.39
decoy,-9.34,8.166
decoy,-8.928,7.897
decoy,-9.052,6.53
decoy,-8.958,6.831
decoy,-8.927,6.07
decoy,-9.737,8.373
CHEMBL4593858,-8.925,5.87
CHEMBL4593858,-8.925,5.87
decoy,-8.953,7.157
CHEMBL4472204,-8.922,8.258
decoy,-8.922,8.146
decoy,-9.047,7.322
decoy,-8.916,7.296
decoy,-8.916,8.062
decoy,-8.915,7.224
decoy,-8.913,7.917
decoy,-8.911,8.86
decoy,-8.91,8.31
decoy,-8.909,7.583
decoy,-8.908,6.17
decoy,-11.118,8.854
decoy,-8.905,6.28
decoy,-11.408,8.769
decoy,-8.905,7.471
decoy,-8.904,6.015
decoy,-8.904,6.462
decoy,-8.903,6.172
decoy,-8.9,7.164
decoy,-8.9,8.454
decoy,-9.825,7.911
decoy,-8.895,10.288
decoy,-8.894,6.841
decoy,-8.944,6.421
decoy,-8.892,7.494
decoy,-8.892,8.194
decoy,-8.891,7.964
decoy,-8.89,8.043
decoy,-9.586,5.137
decoy,-8.888,8.803
decoy,-8.887,7.738
decoy,-9.296,10.08
decoy,-8.886,7.586
decoy,-8.883,7.995
decoy,-8.883,7.087
decoy,-8.882,7.193
decoy,-8.875,7.621
decoy,-8.875,8.605
decoy,-11.016,7.141
decoy,-8.875,10.158
decoy,-8.933,7.031
decoy,-8.89,7.752
decoy,-8.868,6.891
decoy,-9.091,7.643
decoy,-8.867,8.825
decoy,-9.001,8.067
decoy,-9.012,7.415
decoy,-8.865,5.215
decoy,-8.865,7.662
decoy,-8.859,6.825
decoy,-8.86,6.869
decoy,-8.856,6.457
decoy,-8.855,5.394
decoy,-8.855,4.989
decoy,-8.854,4.329
decoy,-8.854,4.329
decoy,-8.852,7.816
decoy,-9.166,8.369
decoy,-8.851,5.825
CHEMBL4796632,-8.85,9.524
decoy,-8.846,7.965
decoy,-8.846,6.691
decoy,-8.846,6.696
decoy,-11.148,6.298
decoy,-8.845,7.124
decoy,-10.356,8.862
decoy,-8.841,9.198
decoy,-8.839,7.175
decoy,-8.845,6.732
decoy,-8.838,6.388
decoy,-8.836,6.829
decoy,-9.246,9.01
decoy,-8.841,6.723
decoy,-8.833,7.051
decoy,-8.831,8.176
decoy,-9.028,6.81
decoy,-8.837,7.313
decoy,-8.828,6.926
decoy,-8.826,9.009
decoy,-8.895,6.859
decoy,-8.824,7.251
decoy,-8.903,7.061
decoy,-9.108,6.714
decoy,-8.82,8.908
decoy,-8.827,7.951
decoy,-10.792,7.745
decoy,-8.823,7.286
decoy,-8.817,8.226
decoy,-8.816,7.683
decoy,-8.815,6.98
decoy,-8.839,5.977
decoy,-8.813,6.235
decoy,-8.812,9.111
decoy,-8.835,6.541
decoy,-8.809,7.296
decoy,-8.806,6.359
decoy,-8.804,5.802
decoy,-8.82,7.904
decoy,-8.802,9.589
